ID,Country,Year,Attack Type,Target Industry,Financial Loss ($M),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Used,Resolution Time (Hr)
CBS-1593,Brazil,2018,Ransomware,Education,69.0,939146,Nation-state,Zero-day,Firewall,56
CBS-1594,India,2022,Man-in-the-Middle,Retail,13.8,633855,Hacker Group,Social Engineering,Antivirus,37
CBS-1595,Australia,2016,Malware,Government,22.5,686176,Nation-state,Zero-day,Firewall,62
CBS-1596,China,2022,Malware,Retail,11.3,561807,Unknown,Zero-day,Antivirus,17
CBS-1597,India,2023,SQL Injection,Government,60.5,15768,Unknown,Zero-day,VPN,66
CBS-1598,Germany,2019,Malware,Healthcare,98.5,32423,Hacker Group,Weak Passwords,Antivirus,45
CBS-1599,China,2021,SQL Injection,IT,97.1,329378,Nation-state,Weak Passwords,VPN,61
CBS-1600,India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17
CBS-1601,China,2020,Man-in-the-Middle,Education,1.1,255393,Unknown,Unpatched Software,Encryption,71
CBS-1602,Japan,2017,Phishing,Government,90.0,141115,Hacker Group,Zero-day,AI-based Detection,9
CBS-1603,India,2015,Man-in-the-Middle,Telecommunications,48.6,358210,Nation-state,Zero-day,AI-based Detection,11
CBS-1604,Japan,2023,Man-in-the-Middle,Education,16.4,60322,Insider,Zero-day,VPN,22
CBS-1605,China,2019,Ransomware,Government,15.4,555153,Unknown,Zero-day,Encryption,11
CBS-1606,India,2018,SQL Injection,Healthcare,47.2,98266,Insider,Social Engineering,Firewall,18
CBS-1607,Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58
CBS-1608,UK,2015,Man-in-the-Middle,Banking,64.9,976213,Unknown,Social Engineering,Firewall,28
CBS-1609,Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21
CBS-1610,China,2023,Ransomware,IT,23.2,367503,Nation-state,Weak Passwords,Encryption,17
CBS-1611,China,2018,Ransomware,Education,17.4,598614,Insider,Social Engineering,VPN,59
CBS-1612,France,2022,Phishing,Retail,22.7,629571,Hacker Group,Unpatched Software,VPN,41
CBS-1613,Japan,2021,Man-in-the-Middle,Education,70.0,834355,Nation-state,Unpatched Software,AI-based Detection,71
CBS-1614,USA,2020,Man-in-the-Middle,IT,87.9,731495,Nation-state,Unpatched Software,Antivirus,3
CBS-1615,UK,2020,SQL Injection,Retail,69.9,354637,Insider,Social Engineering,VPN,63
CBS-1616,USA,2020,Ransomware,Banking,27.5,60428,Nation-state,Weak Passwords,Antivirus,27
CBS-1617,China,2024,DDoS,Retail,13.2,95351,Nation-state,Unpatched Software,Antivirus,11
CBS-1618,Brazil,2020,Phishing,Retail,51.0,826159,Insider,Weak Passwords,VPN,3
CBS-1619,France,2020,SQL Injection,Healthcare,66.9,234301,Insider,Zero-day,AI-based Detection,32
CBS-1620,UK,2020,Phishing,Healthcare,39.5,551014,Nation-state,Social Engineering,Firewall,71
CBS-1621,Brazil,2017,SQL Injection,Telecommunications,4.4,809757,Nation-state,Social Engineering,VPN,61
CBS-1622,UK,2017,Malware,Healthcare,24.1,612319,Unknown,Social Engineering,Antivirus,47
CBS-1623,UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41
CBS-1624,USA,2018,Phishing,Banking,89.7,279786,Insider,Zero-day,VPN,46
CBS-1625,Australia,2016,Phishing,Government,72.3,847817,Hacker Group,Social Engineering,Firewall,13
CBS-1626,Australia,2016,Man-in-the-Middle,Education,37.5,382682,Nation-state,Zero-day,Firewall,12
CBS-1627,USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47
CBS-1628,France,2023,Man-in-the-Middle,Government,85.9,841548,Unknown,Zero-day,Firewall,68
CBS-1629,Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24
CBS-1630,Germany,2024,Man-in-the-Middle,Banking,53.5,680154,Nation-state,Zero-day,Firewall,2
CBS-1631,France,2023,Phishing,Education,37.4,978508,Insider,Weak Passwords,Firewall,42
CBS-1632,Germany,2020,Man-in-the-Middle,IT,84.6,392247,Unknown,Zero-day,Antivirus,7
CBS-1633,Russia,2023,SQL Injection,Retail,34.9,446911,Unknown,Weak Passwords,Firewall,25
CBS-1634,Australia,2023,Ransomware,IT,17.3,777799,Insider,Weak Passwords,Firewall,2
CBS-1635,Australia,2016,Ransomware,Healthcare,83.0,799581,Nation-state,Zero-day,AI-based Detection,50
CBS-1636,Germany,2015,Man-in-the-Middle,Retail,85.3,819676,Hacker Group,Zero-day,Antivirus,59
CBS-1637,Japan,2023,SQL Injection,Telecommunications,31.5,192430,Nation-state,Unpatched Software,AI-based Detection,49
CBS-1638,UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69
CBS-1639,USA,2023,Ransomware,Healthcare,12.8,654947,Insider,Social Engineering,Encryption,23
CBS-1640,USA,2018,DDoS,Banking,10.0,327826,Hacker Group,Social Engineering,AI-based Detection,35
CBS-1641,France,2016,Man-in-the-Middle,Healthcare,24.0,106126,Unknown,Weak Passwords,Antivirus,19
CBS-1642,Russia,2022,Man-in-the-Middle,IT,34.6,46493,Insider,Unpatched Software,Encryption,62
CBS-1643,Japan,2021,Man-in-the-Middle,Education,15.8,733307,Nation-state,Social Engineering,Firewall,29
CBS-1644,France,2015,Malware,Government,71.9,789673,Unknown,Weak Passwords,Antivirus,31
CBS-1645,China,2017,Ransomware,Education,64.9,159061,Insider,Weak Passwords,Firewall,12
CBS-1646,China,2020,Phishing,Education,6.4,80748,Hacker Group,Zero-day,Encryption,8
CBS-1647,UK,2020,Man-in-the-Middle,IT,85.9,697536,Unknown,Social Engineering,AI-based Detection,72
CBS-1648,Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13
CBS-1649,Russia,2020,Man-in-the-Middle,Telecommunications,64.4,803579,Unknown,Weak Passwords,VPN,1
CBS-1650,France,2021,Phishing,Retail,13.5,537683,Insider,Unpatched Software,VPN,41
CBS-1651,France,2020,DDoS,Retail,40.7,743271,Nation-state,Social Engineering,Firewall,10
CBS-1652,Australia,2018,Malware,Telecommunications,36.0,215231,Unknown,Zero-day,AI-based Detection,49
CBS-1653,UK,2022,Phishing,Banking,57.9,135941,Nation-state,Social Engineering,AI-based Detection,7
CBS-1654,USA,2017,Phishing,IT,8.0,362478,Hacker Group,Zero-day,Encryption,67
CBS-1655,Russia,2022,DDoS,Education,13.9,537149,Nation-state,Unpatched Software,VPN,54
CBS-1656,China,2016,SQL Injection,Retail,96.3,162061,Insider,Zero-day,Firewall,32
CBS-1657,China,2016,Ransomware,Banking,94.6,455702,Hacker Group,Weak Passwords,Antivirus,5
CBS-1658,UK,2021,Ransomware,Telecommunications,13.3,448367,Nation-state,Social Engineering,AI-based Detection,7
CBS-1659,France,2019,Malware,Retail,21.9,603904,Nation-state,Unpatched Software,Firewall,38
CBS-1660,France,2016,Malware,IT,81.8,331741,Hacker Group,Social Engineering,Antivirus,29
CBS-1661,Japan,2023,Ransomware,Education,58.8,983506,Hacker Group,Social Engineering,AI-based Detection,35
CBS-1662,China,2015,Phishing,Retail,14.7,914743,Insider,Social Engineering,AI-based Detection,69
CBS-1663,Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7
CBS-1664,Brazil,2020,Man-in-the-Middle,Retail,16.3,527964,Insider,Zero-day,Firewall,28
CBS-1665,Brazil,2015,Phishing,Banking,29.6,593384,Unknown,Zero-day,Firewall,65
CBS-1666,UK,2023,Malware,IT,82.4,386972,Insider,Unpatched Software,AI-based Detection,56
CBS-1667,China,2017,DDoS,Healthcare,96.5,644339,Insider,Unpatched Software,Antivirus,71
CBS-1668,Brazil,2024,DDoS,Healthcare,76.4,782425,Insider,Weak Passwords,Encryption,13
CBS-1669,Russia,2024,SQL Injection,Banking,80.0,84185,Nation-state,Weak Passwords,VPN,2
CBS-1670,UK,2022,Malware,Healthcare,91.7,337120,Insider,Weak Passwords,Firewall,59
CBS-1671,UK,2020,Phishing,Banking,3.8,241282,Hacker Group,Social Engineering,Encryption,55
CBS-1672,China,2023,DDoS,Healthcare,97.2,734819,Unknown,Unpatched Software,AI-based Detection,50
CBS-1673,Australia,2024,DDoS,Healthcare,77.0,8517,Hacker Group,Weak Passwords,Encryption,4
CBS-1674,UK,2018,Man-in-the-Middle,Government,91.5,865257,Nation-state,Social Engineering,VPN,19
CBS-1675,Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4
CBS-1676,China,2020,Malware,Healthcare,11.9,646567,Insider,Unpatched Software,VPN,15
CBS-1677,USA,2019,DDoS,Telecommunications,43.3,266748,Unknown,Unpatched Software,Antivirus,30
CBS-1678,USA,2022,Ransomware,Retail,92.9,771367,Hacker Group,Social Engineering,Firewall,5
CBS-1679,USA,2020,DDoS,Banking,99.8,948174,Unknown,Social Engineering,AI-based Detection,4
CBS-1680,Brazil,2017,DDoS,Healthcare,62.7,460264,Unknown,Social Engineering,Firewall,9
CBS-1681,USA,2017,DDoS,Government,96.9,794147,Unknown,Unpatched Software,Antivirus,4
CBS-1682,France,2015,SQL Injection,IT,43.9,72222,Unknown,Weak Passwords,Firewall,64
CBS-1683,France,2020,DDoS,Telecommunications,66.3,995231,Nation-state,Weak Passwords,Firewall,53
CBS-1684,Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16
CBS-1685,Russia,2015,Man-in-the-Middle,IT,95.0,566542,Unknown,Weak Passwords,Firewall,58
CBS-1686,UK,2022,Malware,Healthcare,12.7,781284,Hacker Group,Weak Passwords,Firewall,11
CBS-1687,UK,2021,Phishing,IT,89.6,361270,Nation-state,Weak Passwords,VPN,31
CBS-1688,India,2022,Malware,Telecommunications,97.0,404834,Hacker Group,Zero-day,VPN,62
CBS-1689,China,2023,DDoS,Government,53.5,374484,Unknown,Unpatched Software,Antivirus,46
CBS-1690,Australia,2020,SQL Injection,IT,21.0,681476,Unknown,Weak Passwords,VPN,6
CBS-1691,India,2019,SQL Injection,Retail,15.4,514826,Hacker Group,Unpatched Software,Firewall,72
CBS-1692,Japan,2022,Malware,Education,97.3,742866,Nation-state,Social Engineering,Encryption,61
CBS-1693,UK,2016,Ransomware,Healthcare,61.7,639896,Hacker Group,Social Engineering,VPN,63
CBS-1694,Australia,2022,SQL Injection,IT,15.3,42346,Hacker Group,Unpatched Software,VPN,33
CBS-1695,Japan,2019,Malware,Telecommunications,5.9,235399,Unknown,Social Engineering,Antivirus,21
CBS-1696,USA,2015,Man-in-the-Middle,Retail,24.9,448426,Nation-state,Weak Passwords,VPN,36
CBS-1697,France,2020,Ransomware,Retail,97.4,467137,Nation-state,Social Engineering,Encryption,14
CBS-1698,Japan,2017,SQL Injection,Education,11.5,364107,Hacker Group,Social Engineering,AI-based Detection,28
CBS-1699,India,2022,Man-in-the-Middle,Government,4.1,357898,Hacker Group,Social Engineering,Firewall,27
CBS-1700,China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30
CBS-1701,Russia,2022,Man-in-the-Middle,Education,96.4,106169,Nation-state,Unpatched Software,Encryption,28
CBS-1702,France,2016,Ransomware,Healthcare,34.3,157547,Insider,Unpatched Software,AI-based Detection,29
CBS-1703,Brazil,2022,SQL Injection,Healthcare,56.6,242677,Insider,Social Engineering,Encryption,21
CBS-1704,China,2016,SQL Injection,Banking,63.7,385872,Insider,Zero-day,Firewall,50
CBS-1705,Germany,2018,DDoS,Retail,80.9,148209,Insider,Weak Passwords,Antivirus,54
CBS-1706,Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61
CBS-1707,Russia,2023,Malware,IT,47.2,404004,Nation-state,Social Engineering,Encryption,58
CBS-1708,UK,2018,Ransomware,Retail,29.0,981029,Nation-state,Weak Passwords,Antivirus,42
CBS-1709,France,2017,Malware,Telecommunications,96.6,389525,Unknown,Zero-day,Antivirus,32
CBS-1710,India,2019,SQL Injection,IT,44.0,764974,Nation-state,Weak Passwords,VPN,18
CBS-1711,India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49
CBS-1712,Brazil,2024,SQL Injection,IT,53.7,680584,Insider,Zero-day,AI-based Detection,5
CBS-1713,China,2018,SQL Injection,Education,15.4,907858,Nation-state,Social Engineering,Encryption,47
CBS-1714,Russia,2021,SQL Injection,Banking,80.7,983047,Hacker Group,Unpatched Software,Antivirus,19
CBS-1715,France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37
CBS-1716,India,2021,SQL Injection,IT,52.2,100105,Unknown,Zero-day,Firewall,56
CBS-1717,USA,2023,SQL Injection,Government,89.5,59398,Hacker Group,Zero-day,Antivirus,8
CBS-1718,USA,2023,Malware,Banking,35.9,91974,Hacker Group,Zero-day,AI-based Detection,41
CBS-1719,Brazil,2019,Ransomware,Healthcare,9.3,785564,Insider,Unpatched Software,Antivirus,70
CBS-1720,China,2023,Phishing,Banking,15.2,597516,Nation-state,Unpatched Software,Antivirus,15
CBS-1721,UK,2019,Ransomware,IT,18.0,799372,Hacker Group,Zero-day,AI-based Detection,14
CBS-1722,France,2018,SQL Injection,Banking,32.8,77096,Unknown,Weak Passwords,VPN,29
CBS-1723,Brazil,2023,Man-in-the-Middle,Retail,59.2,610786,Nation-state,Social Engineering,AI-based Detection,31
CBS-1724,Japan,2021,SQL Injection,Telecommunications,28.3,667271,Insider,Weak Passwords,Firewall,22
CBS-1725,China,2023,Phishing,Banking,33.3,133315,Nation-state,Weak Passwords,AI-based Detection,25
CBS-1726,Brazil,2019,SQL Injection,Government,24.9,381105,Unknown,Weak Passwords,Encryption,3
CBS-1727,UK,2020,Ransomware,Banking,98.1,795120,Unknown,Social Engineering,Firewall,42
CBS-1728,Russia,2017,SQL Injection,Healthcare,67.1,198285,Nation-state,Unpatched Software,Encryption,56
CBS-1729,India,2023,DDoS,Government,34.5,580270,Unknown,Unpatched Software,Firewall,35
CBS-1730,UK,2018,Ransomware,Retail,45.7,277410,Hacker Group,Social Engineering,Firewall,42
CBS-1731,Australia,2022,Man-in-the-Middle,Government,38.3,793946,Nation-state,Weak Passwords,Firewall,12
CBS-1732,Australia,2019,Ransomware,Banking,15.2,126770,Insider,Weak Passwords,Encryption,67
CBS-1733,Australia,2016,Phishing,IT,55.2,66776,Unknown,Zero-day,Encryption,29
CBS-1734,China,2018,DDoS,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21
CBS-1735,France,2024,SQL Injection,Retail,3.1,901137,Nation-state,Zero-day,Antivirus,10
CBS-1736,Australia,2020,Man-in-the-Middle,Banking,34.6,427407,Unknown,Unpatched Software,Encryption,47
CBS-1737,USA,2021,Phishing,Banking,28.8,959107,Unknown,Zero-day,Antivirus,35
CBS-1738,Russia,2017,Man-in-the-Middle,IT,55.2,12439,Nation-state,Weak Passwords,Firewall,20
CBS-1739,Germany,2021,Man-in-the-Middle,Banking,14.5,292854,Nation-state,Unpatched Software,AI-based Detection,14
CBS-1740,USA,2023,Malware,Banking,66.1,189116,Insider,Social Engineering,AI-based Detection,53
CBS-1741,USA,2017,Phishing,Telecommunications,19.6,889404,Unknown,Weak Passwords,Firewall,60
CBS-1742,USA,2017,Man-in-the-Middle,Retail,59.0,566242,Nation-state,Social Engineering,VPN,63
CBS-1743,Brazil,2015,SQL Injection,IT,86.7,694491,Unknown,Unpatched Software,Firewall,65
CBS-1744,Australia,2015,DDoS,Education,51.5,297721,Nation-state,Weak Passwords,Antivirus,29
CBS-1745,China,2024,SQL Injection,Education,13.6,394335,Unknown,Zero-day,Encryption,43
CBS-1746,Japan,2016,Man-in-the-Middle,IT,57.1,590262,Insider,Unpatched Software,Antivirus,15
CBS-1747,Germany,2015,DDoS,IT,91.8,846200,Unknown,Social Engineering,AI-based Detection,26
CBS-1748,Japan,2017,Phishing,Telecommunications,89.9,44385,Hacker Group,Weak Passwords,AI-based Detection,18
CBS-1749,UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43
CBS-1750,UK,2023,DDoS,Education,54.0,806965,Insider,Social Engineering,AI-based Detection,56
CBS-1751,Russia,2018,Ransomware,Education,79.9,587346,Hacker Group,Social Engineering,Antivirus,39
CBS-1752,Japan,2015,Phishing,Education,2.4,552342,Unknown,Zero-day,VPN,62
CBS-1753,France,2019,DDoS,Education,66.7,47104,Insider,Social Engineering,VPN,5
CBS-1754,USA,2016,DDoS,Retail,13.8,586557,Hacker Group,Social Engineering,AI-based Detection,37
CBS-1755,Russia,2017,Malware,Government,2.7,500857,Hacker Group,Zero-day,VPN,35
CBS-1756,USA,2022,Man-in-the-Middle,Banking,65.5,977913,Hacker Group,Weak Passwords,Antivirus,70
CBS-1757,France,2021,Malware,Telecommunications,68.6,894858,Hacker Group,Social Engineering,Firewall,19
CBS-1758,UK,2018,Man-in-the-Middle,IT,75.8,574089,Unknown,Unpatched Software,Firewall,32
CBS-1759,USA,2015,DDoS,Healthcare,63.0,232622,Nation-state,Weak Passwords,Antivirus,33
CBS-1760,India,2015,Malware,Retail,90.0,917351,Unknown,Zero-day,Encryption,43
CBS-1761,Australia,2024,SQL Injection,IT,98.3,694333,Insider,Unpatched Software,VPN,48
CBS-1762,India,2017,Ransomware,Government,38.9,968822,Nation-state,Weak Passwords,Antivirus,25
CBS-1763,Brazil,2015,DDoS,Banking,18.9,976838,Unknown,Weak Passwords,Firewall,65
CBS-1764,Australia,2019,DDoS,Education,54.6,22739,Insider,Unpatched Software,Firewall,44
CBS-1765,UK,2015,Man-in-the-Middle,Retail,7.9,657442,Nation-state,Social Engineering,Firewall,29
CBS-1766,Brazil,2018,Phishing,Education,57.6,257681,Nation-state,Zero-day,Antivirus,40
CBS-1767,Japan,2021,Man-in-the-Middle,Retail,10.0,536471,Hacker Group,Weak Passwords,Encryption,72
CBS-1768,France,2015,Ransomware,IT,84.0,824619,Unknown,Social Engineering,Firewall,21
CBS-1769,Russia,2016,SQL Injection,Government,77.9,538804,Hacker Group,Weak Passwords,VPN,43
CBS-1770,Japan,2023,Phishing,Healthcare,49.3,463704,Hacker Group,Weak Passwords,Firewall,14
CBS-1771,China,2021,Man-in-the-Middle,Telecommunications,66.6,596341,Insider,Weak Passwords,AI-based Detection,9
CBS-1772,Brazil,2020,Malware,Retail,89.7,529588,Nation-state,Weak Passwords,AI-based Detection,65
CBS-1773,Germany,2018,Man-in-the-Middle,Retail,43.3,22241,Hacker Group,Zero-day,Firewall,5
CBS-1774,Brazil,2020,Phishing,Banking,21.7,434936,Hacker Group,Zero-day,Encryption,24
CBS-1775,Japan,2019,Malware,IT,33.6,52191,Nation-state,Weak Passwords,Antivirus,72
CBS-1776,Australia,2015,Malware,Banking,8.2,242247,Insider,Social Engineering,Antivirus,29
CBS-1777,Brazil,2020,Phishing,Banking,34.5,372427,Insider,Weak Passwords,VPN,72
CBS-1778,Brazil,2021,Ransomware,Healthcare,67.3,796351,Nation-state,Weak Passwords,AI-based Detection,21
CBS-1779,Japan,2020,SQL Injection,Telecommunications,38.3,505831,Hacker Group,Social Engineering,Encryption,40
CBS-1780,Germany,2020,Malware,Government,32.6,743344,Insider,Zero-day,VPN,4
CBS-1781,China,2017,Phishing,Healthcare,70.4,651809,Unknown,Unpatched Software,Firewall,17
CBS-1782,Brazil,2023,SQL Injection,Telecommunications,31.5,839281,Insider,Weak Passwords,Encryption,25
CBS-1783,Brazil,2018,SQL Injection,Retail,84.8,99876,Insider,Unpatched Software,Firewall,56
CBS-1784,UK,2016,SQL Injection,Telecommunications,98.4,836521,Insider,Weak Passwords,Firewall,19
CBS-1785,Japan,2022,SQL Injection,Retail,43.7,392831,Nation-state,Weak Passwords,AI-based Detection,71
CBS-1786,China,2015,Ransomware,Government,86.9,99312,Unknown,Zero-day,AI-based Detection,60
CBS-1787,Japan,2017,Malware,Education,26.2,945147,Insider,Zero-day,AI-based Detection,20
CBS-1788,USA,2018,DDoS,IT,26.3,943039,Insider,Zero-day,Firewall,28
CBS-1789,Brazil,2016,Malware,Retail,76.8,670642,Unknown,Unpatched Software,AI-based Detection,10
CBS-1790,USA,2016,Malware,Banking,36.2,194553,Hacker Group,Social Engineering,AI-based Detection,48
CBS-1791,China,2022,Ransomware,Education,49.6,257224,Hacker Group,Social Engineering,Firewall,46
CBS-1792,India,2019,DDoS,Banking,59.0,891815,Unknown,Weak Passwords,Antivirus,19
CBS-1793,China,2020,Ransomware,Banking,98.1,168617,Hacker Group,Unpatched Software,VPN,16
CBS-1794,UK,2016,Ransomware,Government,83.7,701152,Nation-state,Social Engineering,Firewall,53
CBS-1795,USA,2023,SQL Injection,Banking,30.7,749609,Nation-state,Zero-day,AI-based Detection,28
CBS-1796,UK,2024,Man-in-the-Middle,Government,86.7,658712,Hacker Group,Unpatched Software,VPN,25
CBS-1797,China,2022,DDoS,Retail,77.7,642501,Hacker Group,Zero-day,AI-based Detection,19
CBS-1798,Australia,2017,Malware,Banking,92.7,817255,Hacker Group,Weak Passwords,Antivirus,62
CBS-1799,China,2021,Ransomware,Government,6.0,92237,Nation-state,Weak Passwords,AI-based Detection,47
CBS-1800,Australia,2023,Man-in-the-Middle,Telecommunications,66.9,156195,Nation-state,Unpatched Software,Firewall,58
CBS-1801,India,2016,Man-in-the-Middle,IT,23.4,618125,Nation-state,Zero-day,VPN,16
CBS-1802,Australia,2021,Man-in-the-Middle,Banking,82.0,828293,Insider,Weak Passwords,Antivirus,64
CBS-1803,Brazil,2017,Malware,Telecommunications,6.1,436100,Unknown,Zero-day,Encryption,12
CBS-1804,USA,2020,DDoS,Retail,14.1,787194,Unknown,Zero-day,VPN,51
CBS-1805,France,2021,Phishing,Retail,31.5,380086,Nation-state,Social Engineering,Encryption,65
CBS-1806,India,2024,Malware,Healthcare,13.7,330581,Unknown,Zero-day,AI-based Detection,54
CBS-1807,Australia,2017,SQL Injection,IT,100.0,672966,Hacker Group,Zero-day,Firewall,13
CBS-1808,India,2022,Malware,Telecommunications,19.6,772330,Hacker Group,Unpatched Software,Encryption,20
CBS-1809,Japan,2018,Man-in-the-Middle,Telecommunications,81.6,255844,Insider,Unpatched Software,Encryption,8
CBS-1810,Germany,2017,Ransomware,Government,80.7,107009,Nation-state,Social Engineering,Encryption,67
CBS-1811,Japan,2020,SQL Injection,Retail,10.4,872095,Nation-state,Unpatched Software,Firewall,44
CBS-1812,France,2015,DDoS,Banking,85.4,50427,Hacker Group,Zero-day,Encryption,5
CBS-1813,USA,2017,Phishing,Retail,15.2,599197,Unknown,Zero-day,AI-based Detection,8
CBS-1814,Brazil,2022,Malware,Telecommunications,40.1,459643,Nation-state,Weak Passwords,Antivirus,10
CBS-1815,China,2021,DDoS,Telecommunications,10.2,950257,Nation-state,Weak Passwords,AI-based Detection,61
CBS-1816,Australia,2022,Phishing,Healthcare,72.5,496317,Hacker Group,Weak Passwords,Antivirus,62
CBS-1817,Brazil,2017,Man-in-the-Middle,Healthcare,96.4,596078,Hacker Group,Weak Passwords,Encryption,10
CBS-1818,Brazil,2019,Ransomware,Banking,88.6,701522,Insider,Social Engineering,VPN,10
CBS-1819,India,2015,Man-in-the-Middle,Healthcare,37.2,357124,Nation-state,Weak Passwords,Antivirus,31
CBS-1820,Germany,2022,SQL Injection,Government,47.9,112688,Nation-state,Social Engineering,VPN,15
CBS-1821,India,2018,Phishing,Retail,14.5,743107,Hacker Group,Social Engineering,VPN,49
CBS-1822,India,2022,Man-in-the-Middle,Banking,32.5,947465,Unknown,Unpatched Software,AI-based Detection,69
CBS-1823,Japan,2019,Ransomware,Government,82.0,358572,Hacker Group,Weak Passwords,VPN,48
CBS-1824,India,2024,Malware,IT,92.1,430701,Hacker Group,Unpatched Software,VPN,54
CBS-1825,Russia,2021,DDoS,Banking,94.5,281900,Hacker Group,Zero-day,Antivirus,1
CBS-1826,Australia,2021,Malware,IT,84.7,391257,Hacker Group,Zero-day,AI-based Detection,66
CBS-1827,China,2019,Man-in-the-Middle,Banking,81.8,277875,Nation-state,Social Engineering,Antivirus,43
CBS-1828,Japan,2015,DDoS,IT,33.3,207244,Hacker Group,Zero-day,Antivirus,38
CBS-1829,India,2018,Malware,Healthcare,67.0,294133,Insider,Social Engineering,VPN,20
CBS-1830,Brazil,2023,Ransomware,Telecommunications,71.4,66852,Hacker Group,Weak Passwords,VPN,58
CBS-1831,China,2024,Ransomware,Telecommunications,67.5,54722,Nation-state,Social Engineering,Encryption,13
CBS-1832,Australia,2022,Phishing,Education,17.3,178951,Nation-state,Weak Passwords,Antivirus,26
CBS-1833,USA,2020,Ransomware,Healthcare,17.2,682791,Insider,Social Engineering,Encryption,44
CBS-1834,Russia,2016,SQL Injection,Education,17.1,888205,Nation-state,Weak Passwords,AI-based Detection,38
CBS-1835,France,2022,Phishing,IT,52.2,794901,Insider,Zero-day,VPN,26
CBS-1836,France,2018,DDoS,Government,27.4,978683,Insider,Zero-day,VPN,35
CBS-1837,Australia,2015,Phishing,Telecommunications,73.8,639279,Nation-state,Zero-day,VPN,44
CBS-1838,UK,2020,Malware,Retail,10.9,675338,Hacker Group,Weak Passwords,VPN,54
CBS-1839,Australia,2021,Man-in-the-Middle,Government,42.2,147589,Insider,Unpatched Software,Antivirus,31
CBS-1840,Australia,2017,DDoS,Government,82.4,646824,Hacker Group,Zero-day,AI-based Detection,2
CBS-1841,China,2016,Phishing,Government,37.6,465317,Insider,Social Engineering,Firewall,20
CBS-1842,USA,2023,Malware,IT,21.5,233379,Unknown,Unpatched Software,Antivirus,50
CBS-1843,China,2023,Malware,IT,43.5,684108,Unknown,Weak Passwords,Firewall,24
CBS-1844,Russia,2020,DDoS,Healthcare,44.3,130510,Unknown,Social Engineering,AI-based Detection,66
CBS-1845,Brazil,2016,Man-in-the-Middle,Banking,43.5,489853,Nation-state,Zero-day,AI-based Detection,28
CBS-1846,Australia,2022,Malware,Healthcare,47.9,25905,Nation-state,Unpatched Software,VPN,40
CBS-1847,Japan,2023,Malware,IT,73.7,795367,Hacker Group,Zero-day,AI-based Detection,55
CBS-1848,Australia,2023,Man-in-the-Middle,Retail,93.3,349335,Nation-state,Zero-day,Firewall,27
CBS-1849,USA,2015,Ransomware,Government,13.9,366147,Hacker Group,Weak Passwords,VPN,38
CBS-1850,India,2018,Phishing,Government,41.1,25094,Nation-state,Unpatched Software,VPN,42
CBS-1851,Russia,2024,Phishing,Retail,44.1,988889,Nation-state,Unpatched Software,Encryption,31
CBS-1852,Japan,2022,Man-in-the-Middle,IT,65.2,216303,Hacker Group,Unpatched Software,AI-based Detection,49
CBS-1853,Australia,2023,Ransomware,Healthcare,21.5,388211,Nation-state,Weak Passwords,Antivirus,22
CBS-1854,USA,2022,Man-in-the-Middle,Education,83.6,30235,Insider,Weak Passwords,Encryption,47
CBS-1855,USA,2023,Malware,Banking,14.0,109083,Nation-state,Weak Passwords,Antivirus,49
CBS-1856,Germany,2017,Malware,Healthcare,49.1,397361,Hacker Group,Weak Passwords,Encryption,57
CBS-1857,UK,2016,Ransomware,Retail,32.2,329026,Nation-state,Weak Passwords,VPN,31
CBS-1858,Australia,2017,Man-in-the-Middle,IT,45.5,889521,Nation-state,Weak Passwords,Encryption,51
CBS-1859,USA,2018,SQL Injection,Healthcare,73.2,849755,Insider,Weak Passwords,Encryption,46
CBS-1860,China,2021,Phishing,Education,70.2,631101,Unknown,Zero-day,Firewall,36
CBS-1861,Japan,2016,DDoS,Healthcare,10.6,625954,Insider,Weak Passwords,AI-based Detection,71
CBS-1862,Japan,2023,Man-in-the-Middle,IT,26.7,220769,Unknown,Zero-day,VPN,71
